msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11525,1016959564,FR035_MR0254R_RJ_0001_NFF,254R,-0.47,-1.12,-1.95
11525,1016959564,FR035_MR0254R_RJ_0001_NFF,254R,-0.47,-1.12,-1.95
11525,1016959564,FR035_MR0765L_SJ_0007_NFF,765L,-0.81,0.97,0.37
11525,1016959564,FR035_MR0765L_SJ_0007_NFF,765L,-0.81,0.97,0.37
11525,1016959564,FR035_MR0765R_SJ_0007_NFF,765R,0.69,2.43,-0.21
11525,1016959564,FR035_MR0765R_SJ_0007_NFF,765R,0.69,2.43,-0.21
11533,1016452856,FR035_MR1292L_SJ_0015_NFF,1292L,-0.29,0.68,3.33
11533,1016452856,FR035_MR1292R_SJ_0015_NFF,1292R,0.29,0.05,1.80
11533,1016452856,FR035_MR0254L_RJ_0001_NFF,254L,-0.09,0.79,0.61
11533,1016452856,FR035_MR0254R_RJ_0001_NFF,254R,0.30,-1.59,-0.11
11533,1016452856,FR035_MR0765L_SJ_0007_NFF,765L,0.37,1.19,1.92
11533,1016452856,FR035_MR0765R_SJ_0007_NFF,765R,0.29,-1.85,0.60
11539,1016890341,FR035_MR1292L_SJ_0015_NFF,1292L,0.26,0.81,0.82
11539,1016890341,FR035_MR1292R_SJ_0015_NFF,1292R,-0.26,-1.44,2.33
11539,1016890341,FR035_MR0254L_RJ_0001_NFF,254L,0.32,0.76,-2.24
11539,1016890341,FR035_MR0254R_RJ_0001_NFF,254R,-0.01,0.72,-1.61
11539,1016890341,FR035_MR0765L_SJ_0007_NFF,765L,0.01,0.36,-0.65
11539,1016890341,FR035_MR0765R_SJ_0007_NFF,765R,-0.37,-0.69,0.45
11550,1016919839,FR035_MR1292L_SJ_0015_NFF,1292L,-0.28,0.13,-0.13
11550,1016919839,FR035_MR1292R_SJ_0015_NFF,1292R,0.28,-1.78,0.03
11550,1016919839,FR035_MR0254L_RJ_0001_NFF,254L,0.26,-0.43,-1.60
11550,1016919839,FR035_MR0254R_RJ_0001_NFF,254R,-0.81,-1.53,-1.37
11550,1016919839,FR035_MR0765L_SJ_0007_NFF,765L,-0.63,0.17,0.09
11550,1016919839,FR035_MR0765R_SJ_0007_NFF,765R,-0.01,-0.89,-0.25
11554,1016440934,FR035_MR1292L_SJ_0015_NFF,1292L,0.52,0.72,1.34
11554,1016440934,FR035_MR1292R_SJ_0015_NFF,1292R,-0.52,-1.09,-0.18
11554,1016440934,FR035_MR0254L_RJ_0001_NFF,254L,0.09,1.96,-1.02
11554,1016440934,FR035_MR0254R_RJ_0001_NFF,254R,0.36,1.24,-1.06
11554,1016440934,FR035_MR0765L_SJ_0007_NFF,765L,0.44,-0.10,-0.44
11554,1016440934,FR035_MR0765R_SJ_0007_NFF,765R,-0.55,0.40,-0.54
11568,1016943907,FR035_MR1292L_SJ_0015_NFF,1292L,0.14,-0.50,2.23
11568,1016943907,FR035_MR1292R_SJ_0015_NFF,1292R,-0.14,-1.99,0.13
11568,1016943907,FR035_MR0254L_RJ_0001_NFF,254L,-0.06,0.50,-0.51
11568,1016943907,FR035_MR0254R_RJ_0001_NFF,254R,1.25,-2.01,-1.50
11568,1016943907,FR035_MR0765L_SJ_0007_NFF,765L,0.55,-2.15,2.67
11568,1016943907,FR035_MR0765R_SJ_0007_NFF,765R,-0.26,-2.71,-1.06
11571,1016918370,FR035_MR1292L_SJ_0015_NFF,1292L,0.17,0.29,1.18
11571,1016918370,FR035_MR1292R_SJ_0015_NFF,1292R,-0.17,-2.04,-0.81
11571,1016918370,FR035_MR0254L_RJ_0001_NFF,254L,0.18,-0.54,-2.40
11571,1016918370,FR035_MR0254R_RJ_0001_NFF,254R,0.45,-1.17,-2.28
11571,1016918370,FR035_MR0765L_SJ_0007_NFF,765L,0.06,-0.26,-0.75
11571,1016918370,FR035_MR0765R_SJ_0007_NFF,765R,0.23,-2.97,-0.16
11577,1017744621,FR035_MR1292L_SJ_0015_NFF,1292L,-0.06,0.03,1.73
11577,1017744621,FR035_MR1292R_SJ_0015_NFF,1292R,0.06,0.34,0.03
11577,1017744621,FR035_MR0254L_RJ_0001_NFF,254L,0.80,0.11,-2.30
11577,1017744621,FR035_MR0254R_RJ_0001_NFF,254R,0.85,-1.46,-1.82
11577,1017744621,FR035_MR0765L_SJ_0007_NFF,765L,0.00,-0.71,0.09
11577,1017744621,FR035_MR0765R_SJ_0007_NFF,765R,-0.46,-1.59,0.29
11582,1017178275,FR035_MR1292L_SJ_0015_NFF,1292L,-0.79,-0.50,1.32
11582,1017178275,FR035_MR1292R_SJ_0015_NFF,1292R,0.79,-0.40,-0.12
11582,1017178275,FR035_MR0254L_RJ_0001_NFF,254L,-0.86,-0.28,-0.65
11582,1017178275,FR035_MR0254R_RJ_0001_NFF,254R,-1.64,0.12,-0.35
11582,1017178275,FR035_MR0765L_SJ_0007_NFF,765L,-1.01,-0.40,-0.25
11582,1017178275,FR035_MR0765R_SJ_0007_NFF,765R,-1.08,-0.22,1.33
11583,1017023825,FR035_MR1292L_SJ_0015_NFF,1292L,0.06,1.55,0.77
11583,1017023825,FR035_MR1292R_SJ_0015_NFF,1292R,-0.06,-0.47,0.93
11583,1017023825,FR035_MR0254L_RJ_0001_NFF,254L,-0.07,1.92,-1.57
11583,1017023825,FR035_MR0254R_RJ_0001_NFF,254R,-0.32,0.92,-1.74
11583,1017023825,FR035_MR0765L_SJ_0007_NFF,765L,-0.47,1.01,-0.66
11583,1017023825,FR035_MR0765R_SJ_0007_NFF,765R,-0.21,-0.05,0.25
11592,1017431068,FR035_MR1292L_SJ_0015_NFF,1292L,0.53,-0.32,-0.26
11592,1017431068,FR035_MR1292R_SJ_0015_NFF,1292R,-0.53,-0.59,0.58
11592,1017431068,FR035_MR0254L_RJ_0001_NFF,254L,0.86,0.61,-1.75
11592,1017431068,FR035_MR0254R_RJ_0001_NFF,254R,0.54,-1.77,-2.08
11592,1017431068,FR035_MR0765L_SJ_0007_NFF,765L,0.43,1.07,-0.57
11592,1017431068,FR035_MR0765R_SJ_0007_NFF,765R,-1.26,-1.45,-0.46
11606,1016488353,FR035_MR1292L_SJ_0015_NFF,1292L,-0.32,-0.11,0.21
11606,1016488353,FR035_MR1292R_SJ_0015_NFF,1292R,0.32,0.50,0.20
11606,1016488353,FR035_MR0254L_RJ_0001_NFF,254L,0.47,1.33,-0.11
11606,1016488353,FR035_MR0254R_RJ_0001_NFF,254R,-0.31,0.06,-0.45
11606,1016488353,FR035_MR0765L_SJ_0007_NFF,765L,-0.26,0.87,0.18
11606,1016488353,FR035_MR0765R_SJ_0007_NFF,765R,0.28,-1.48,-0.05
11612,1016487471,FR035_MR1292L_SJ_0015_NFF,1292L,0.27,0.84,0.52
11612,1016487471,FR035_MR1292R_SJ_0015_NFF,1292R,-0.27,0.00,0.55
11612,1016487471,FR035_MR0254L_RJ_0001_NFF,254L,1.19,1.85,-1.38
